"project_id","project_year","currently_requested_funds","plan_id","plan_name","global_clusters","organisation_ids","organisation_names","question","answer"
48020,2017,"7839168",1152,"Niger 2017","Coordination and support services","3049","World Food Programme","Project Priority","Low"
48020,2017,"7839168",1152,"Niger 2017","Coordination and support services","3049","World Food Programme","Gender Marker","4-Not applicable - Only used for very small number of projects, such as ""support services"""
50791,2017,"8545086",1106,"Iraq 2017","Water Sanitation Hygiene","2178","Norwegian Refugee Council","Subset Of Plan","C. Full Cluster Response"
50791,2017,"8545086",1106,"Iraq 2017","Water Sanitation Hygiene","2178","Norwegian Refugee Council","Project Priority","High"
50791,2017,"8545086",1106,"Iraq 2017","Water Sanitation Hygiene","2178","Norwegian Refugee Council","Gender Marker","2a-The project is designed to contribute significantly to gender equality"
50414,2017,"10000000",593,"Syria regional refugee and resilience plan (3RP) 2017","Multi-sector","4931","United Nations Human Settlements Programme (UN-HABITAT)","Custom Location","Lebanon"
50414,2017,"10000000",593,"Syria regional refugee and resilience plan (3RP) 2017","Multi-sector","4931","United Nations Human Settlements Programme (UN-HABITAT)","Gender Marker","3-Not specified"
48370,2017,"0",1140,"occupied Palestinian territory 2017","Coordination and support services","3049","World Food Programme","Project Priority","Top"
48370,2017,"0",1140,"occupied Palestinian territory 2017","Coordination and support services","3049","World Food Programme","Custom Location","Projects covering both West Bank and Gaza"
48370,2017,"0",1140,"occupied Palestinian territory 2017","Coordination and support services","3049","World Food Programme","Gender Marker","2a-The project is designed to contribute significantly to gender equality"
50306,2017,"9691713",593,"Syria regional refugee and resilience plan (3RP) 2017","Multi-sector","4399","Food and Agriculture Organization of the United Nations","Custom Location","Jordan"
50306,2017,"9691713",593,"Syria regional refugee and resilience plan (3RP) 2017","Multi-sector","4399","Food and Agriculture Organization of the United Nations","Gender Marker","3-Not specified"
48239,2017,"751553",1140,"occupied Palestinian territory 2017","Coordination and support services","3","Office of the High Commissioner for Human Rights","Gender Marker","2a-The project is designed to contribute significantly to gender equality"
48239,2017,"751553",1140,"occupied Palestinian territory 2017","Coordination and support services","3","Office of the High Commissioner for Human Rights","Custom Location","Projects covering both West Bank and Gaza"
48239,2017,"751553",1140,"occupied Palestinian territory 2017","Coordination and support services","3","Office of the High Commissioner for Human Rights","Project Priority","Other"
50309,2017,"465260213",593,"Syria regional refugee and resilience plan (3RP) 2017","Multi-sector","2915","United Nations Children's Fund","Custom Location","Lebanon"
