"project_id","project_year","currently_requested_funds","plan_id","plan_name","global_clusters","organisation_ids","organisation_names","question","answer"
45072,2016,"10611557",501,"Somalia 2016","Coordination and support services","4396","Office for the Coordination of Humanitarian Affairs","Project Priority","A - High"
45072,2016,"10611557",501,"Somalia 2016","Coordination and support services","4396","Office for the Coordination of Humanitarian Affairs","Gender Marker","2a-The project is designed to contribute significantly to gender equality"
44017,2016,"18613145",1011,"Syria Humanitarian Response Plan 2016","Coordination and support services","4396","Office for the Coordination of Humanitarian Affairs","Gender Marker","4-Not applicable - Only used for very small number of projects, such as ""support services"""
46422,2016,"453208765",465,"Syria regional refugee and resilience plan (3RP) 2016","Multi-sector","4397","United Nations High Commissioner for Refugees","Custom Location","Lebanon"
46422,2016,"453208765",465,"Syria regional refugee and resilience plan (3RP) 2016","Multi-sector","4397","United Nations High Commissioner for Refugees","Gender Marker","3-Not specified"
43376,2016,"12385202",412,"Nigeria 2016","Coordination and support services","3049","World Food Programme","Gender Marker","4-Not applicable - Only used for very small number of projects, such as ""support services"""
44380,2016,"1000000",1014,"Pakistan Humanitarian Strategic Plan 2016","Coordination and support services","2986","International Organization for Migration","Gender Marker","2b-The principal purpose of the project is to advance gender equality"
45349,2016,"0",503,"Myanmar 2016","Coordination and support services","4396","Office for the Coordination of Humanitarian Affairs","No field questions","No field answers"
43389,2016,"6764849",412,"Nigeria 2016","Coordination and support services","4396","Office for the Coordination of Humanitarian Affairs","Project Priority","High"
43389,2016,"6764849",412,"Nigeria 2016","Coordination and support services","4396","Office for the Coordination of Humanitarian Affairs","Gender Marker","2a-The project is designed to contribute significantly to gender equality"
43038,2016,"5954751",411,"Chad 2016","Coordination and support services","4396","Office for the Coordination of Humanitarian Affairs","Gender Marker","2a-The project is designed to contribute significantly to gender equality"
45350,2016,"0",464,"Afghanistan 2016","Coordination and support services","4396","Office for the Coordination of Humanitarian Affairs","No field questions","No field answers"
45638,2016,"1100000",415,"Haiti 2016","Health","2986","International Organization for Migration","Subset Of Plan","Cholera"
45638,2016,"1100000",415,"Haiti 2016","Health","2986","International Organization for Migration","Project Priority","High"
45638,2016,"1100000",415,"Haiti 2016","Health","2986","International Organization for Migration","Gender Marker","1-The project is designed to contribute in some limited way to gender equality"
45677,2016,"1240911",415,"Haiti 2016","Camp Coordination / Management","744","Oxfam","Project Priority","Low"
45677,2016,"1240911",415,"Haiti 2016","Camp Coordination / Management","744","Oxfam","Subset Of Plan","IDPs"
45677,2016,"1240911",415,"Haiti 2016","Camp Coordination / Management","744","Oxfam","Gender Marker","2a-The project is designed to contribute significantly to gender equality"
44031,2016,"16320000",1011,"Syria Humanitarian Response Plan 2016","Education","2849","Save the Children","Project Priority","N/A"
44031,2016,"16320000",1011,"Syria Humanitarian Response Plan 2016","Education","2849","Save the Children","Gender Marker","2a-The project is designed to contribute significantly to gender equality"
43487,2016,"2086000",456,"Libya 2015-2016","Emergency Shelter and NFI","2986","International Organization for Migration","Project Priority","High"
43487,2016,"2086000",456,"Libya 2015-2016","Emergency Shelter and NFI","2986","International Organization for Migration","Gender Marker","2a-The project is designed to contribute significantly to gender equality"
44385,2016,"592038",1014,"Pakistan Humanitarian Strategic Plan 2016","Nutrition","3956","Center of Excellence for Rural Development","Project Grouping 2","IDPs in KP/FATA"
44385,2016,"592038",1014,"Pakistan Humanitarian Strategic Plan 2016","Nutrition","3956","Center of Excellence for Rural Development","Gender Marker","2a-The project is designed to contribute significantly to gender equality"
44378,2016,"5085642",1014,"Pakistan Humanitarian Strategic Plan 2016","Nutrition","3049","World Food Programme","Project Grouping 2","Drought"
44378,2016,"5085642",1014,"Pakistan Humanitarian Strategic Plan 2016","Nutrition","3049","World Food Programme","Gender Marker","2a-The project is designed to contribute significantly to gender equality"
45543,2016,"0",1016,"Yemen Humanitarian Response Plan 2016","Coordination and support services","4396","Office for the Coordination of Humanitarian Affairs","No field questions","No field answers"
43473,2016,"1400945",456,"Libya 2015-2016","Emergency Shelter and NFI","2886","Agency for Technical Cooperation and Development","Project Priority","High"
43473,2016,"1400945",456,"Libya 2015-2016","Emergency Shelter and NFI","2886","Agency for Technical Cooperation and Development","Gender Marker","2a-The project is designed to contribute significantly to gender equality"
42917,2016,"1154651",498,"Cameroon 2016","Water Sanitation Hygiene","3230","Solidarités International","Response Type","Refugee"
42917,2016,"1154651",498,"Cameroon 2016","Water Sanitation Hygiene","3230","Solidarités International","Project Priority","High"
42917,2016,"1154651",498,"Cameroon 2016","Water Sanitation Hygiene","3230","Solidarités International","Gender Marker","2a-The project is designed to contribute significantly to gender equality"
45693,2016,"0",502,"Honduras 2016","Health","4398","World Health Organization","Project Priority","Low"
45693,2016,"0",502,"Honduras 2016","Health","4398","World Health Organization","Gender Marker","0-No signs that gender issues were considered in project design"
45691,2016,"0",502,"Honduras 2016","Water Sanitation Hygiene","2915","United Nations Children's Fund","Project Priority","Low"
45691,2016,"0",502,"Honduras 2016","Water Sanitation Hygiene","2915","United Nations Children's Fund","Gender Marker","0-No signs that gender issues were considered in project design"
47274,2016,"0",1011,"Syria Humanitarian Response Plan 2016","","10268","UN agencies and NGOs (Confidential)","Project Priority","N/A"
47274,2016,"0",1011,"Syria Humanitarian Response Plan 2016","","10268","UN agencies and NGOs (Confidential)","Gender Marker","4-Not applicable - Only used for very small number of projects, such as ""support services"""
45692,2016,"0",502,"Honduras 2016","Health","2915","United Nations Children's Fund","Project Priority","Low"
45692,2016,"0",502,"Honduras 2016","Health","2915","United Nations Children's Fund","Gender Marker","0-No signs that gender issues were considered in project design"
45694,2016,"0",502,"Honduras 2016","Food Security","3049","World Food Programme","Project Priority","Low"
45694,2016,"0",502,"Honduras 2016","Food Security","3049","World Food Programme","Gender Marker","0-No signs that gender issues were considered in project design"
43863,2016,"4700000",465,"Syria regional refugee and resilience plan (3RP) 2016","Multi-sector","4396","Office for the Coordination of Humanitarian Affairs","Custom Location","Regional"
43863,2016,"4700000",465,"Syria regional refugee and resilience plan (3RP) 2016","Multi-sector","4396","Office for the Coordination of Humanitarian Affairs","Gender Marker","3-Not specified"
43740,2016,"44400000",1118,"occupied Palestinian territory 2016","Emergency Shelter and NFI","3035","United Nations Relief and Works Agency for Palestine Refugees in the Near East","Project Priority","Other"
43740,2016,"44400000",1118,"occupied Palestinian territory 2016","Emergency Shelter and NFI","3035","United Nations Relief and Works Agency for Palestine Refugees in the Near East","Custom Location","Projects covering just Gaza"
43740,2016,"44400000",1118,"occupied Palestinian territory 2016","Emergency Shelter and NFI","3035","United Nations Relief and Works Agency for Palestine Refugees in the Near East","Gender Marker","2a-The project is designed to contribute significantly to gender equality"
45190,2016,"11205535",500,"Iraq 2016","Coordination and support services","4396","Office for the Coordination of Humanitarian Affairs","Project Priority","High"
45190,2016,"11205535",500,"Iraq 2016","Coordination and support services","4396","Office for the Coordination of Humanitarian Affairs","Gender Marker","2a-The project is designed to contribute significantly to gender equality"
44736,2016,"9202299",1059,"Republic of South Sudan 2016","Coordination and support services","4396","Office for the Coordination of Humanitarian Affairs","Project Priority","4"
44736,2016,"9202299",1059,"Republic of South Sudan 2016","Coordination and support services","4396","Office for the Coordination of Humanitarian Affairs","Gender Marker","2a-The project is designed to contribute significantly to gender equality"
45709,2016,"0",1016,"Yemen Humanitarian Response Plan 2016","","2986","International Organization for Migration","No field questions","No field answers"
45705,2016,"0",1016,"Yemen Humanitarian Response Plan 2016","","3238","CARE International","No field questions","No field answers"
45711,2016,"0",1016,"Yemen Humanitarian Response Plan 2016","","744","Oxfam","No field questions","No field answers"
45700,2016,"0",1016,"Yemen Humanitarian Response Plan 2016","","2849","Save the Children","No field questions","No field answers"
45551,2016,"0",1016,"Yemen Humanitarian Response Plan 2016","Nutrition","2915","United Nations Children's Fund","No field questions","No field answers"
45552,2016,"0",1016,"Yemen Humanitarian Response Plan 2016","Food Security","3049","World Food Programme","No field questions","No field answers"
44170,2016,"75600850",1011,"Syria Humanitarian Response Plan 2016","Emergency Shelter and NFI","2986","International Organization for Migration","Gender Marker","2a-The project is designed to contribute significantly to gender equality"
43987,2016,"9936000",1011,"Syria Humanitarian Response Plan 2016","Early Recovery","5294","United Nations Development Programme","Gender Marker","2b-The principal purpose of the project is to advance gender equality"
45893,2016,"1180224",421,"DPR Korea Needs and Priorities 2016","Food Security","4389","Deutsche Welthungerhilfe e.V. (German Agro Action)","No field questions","No field answers"
46421,2016,"178000000",465,"Syria regional refugee and resilience plan (3RP) 2016","Multi-sector","5294","United Nations Development Programme","Custom Location","Lebanon"
46421,2016,"178000000",465,"Syria regional refugee and resilience plan (3RP) 2016","Multi-sector","5294","United Nations Development Programme","Gender Marker","3-Not specified"
43315,2016,"17549528",1097,"Niger 2016","Multi-sector","4397","United Nations High Commissioner for Refugees","Custom Location","Multiple locations"
43315,2016,"17549528",1097,"Niger 2016","Multi-sector","4397","United Nations High Commissioner for Refugees","Project Priority","High"
43315,2016,"17549528",1097,"Niger 2016","Multi-sector","4397","United Nations High Commissioner for Refugees","Response Type","Refugee"
43315,2016,"17549528",1097,"Niger 2016","Multi-sector","4397","United Nations High Commissioner for Refugees","Gender Marker","2a-The project is designed to contribute significantly to gender equality"
43297,2016,"1320380",1097,"Niger 2016","Protection","2915","United Nations Children's Fund","Custom Location","Multiple locations"
