"project_id","project_year","currently_requested_funds","plan_id","plan_name","global_clusters","organisation_ids","organisation_names","question","answer"
56059,2018,"14593000",537,"Syria regional refugee and resilience plan (3RP) 2018","Multi-sector","4399","Food and Agriculture Organization of the United Nations","Custom Location","Jordan"
56059,2018,"14593000",537,"Syria regional refugee and resilience plan (3RP) 2018","Multi-sector","4399","Food and Agriculture Organization of the United Nations","Project Priority","NOT SPECIFIED"
56059,2018,"14593000",537,"Syria regional refugee and resilience plan (3RP) 2018","Multi-sector","4399","Food and Agriculture Organization of the United Nations","Gender Marker","3-Not specified"
56083,2018,"455097310",537,"Syria regional refugee and resilience plan (3RP) 2018","Multi-sector","2915","United Nations Children's Fund","Custom Location","Lebanon"
56083,2018,"455097310",537,"Syria regional refugee and resilience plan (3RP) 2018","Multi-sector","2915","United Nations Children's Fund","Project Priority","NOT SPECIFIED"
56083,2018,"455097310",537,"Syria regional refugee and resilience plan (3RP) 2018","Multi-sector","2915","United Nations Children's Fund","Gender Marker","3-Not specified"
56053,2018,"5347968",537,"Syria regional refugee and resilience plan (3RP) 2018","Multi-sector","8487","Terre des Hommes - Italy","Custom Location","Lebanon"
56053,2018,"5347968",537,"Syria regional refugee and resilience plan (3RP) 2018","Multi-sector","8487","Terre des Hommes - Italy","Project Priority","NOT SPECIFIED"
56053,2018,"5347968",537,"Syria regional refugee and resilience plan (3RP) 2018","Multi-sector","8487","Terre des Hommes - Italy","Gender Marker","3-Not specified"
56349,2018,"8311744",5682,"Iraq Humanitarian Response Plan 2018","Coordination and support services","4396","Office for the Coordination of Humanitarian Affairs","Project Priority","High"
56349,2018,"8311744",5682,"Iraq Humanitarian Response Plan 2018","Coordination and support services","4396","Office for the Coordination of Humanitarian Affairs","Gender Marker","4-Not applicable - Only used for very small number of projects, such as ""support services"""
56332,2018,"2000000",5682,"Iraq Humanitarian Response Plan 2018","Water Sanitation Hygiene","8501","Action Contre la Faim - France","Project Priority","High"
56332,2018,"2000000",5682,"Iraq Humanitarian Response Plan 2018","Water Sanitation Hygiene","8501","Action Contre la Faim - France","Gender Marker","2a-The project is designed to contribute significantly to gender equality"
53379,2018,"26864704",5692,"South Sudan Humanitarian Response Plan 2018","Nutrition","2915","United Nations Children's Fund","Project Priority","Not Applicable"
53379,2018,"26864704",5692,"South Sudan Humanitarian Response Plan 2018","Nutrition","2915","United Nations Children's Fund","Gender Marker","2a-The project is designed to contribute significantly to gender equality"
55116,2018,"16250874",1128,"Syria Humanitarian Response Plan 2018","Coordination and support services","4396","Office for the Coordination of Humanitarian Affairs","Project Grouping 1","Coordination"
55116,2018,"16250874",1128,"Syria Humanitarian Response Plan 2018","Coordination and support services","4396","Office for the Coordination of Humanitarian Affairs","Project Grouping 2","NOT SPECIFIED"
55116,2018,"16250874",1128,"Syria Humanitarian Response Plan 2018","Coordination and support services","4396","Office for the Coordination of Humanitarian Affairs","Project Priority","NOT SPECIFIED"
55116,2018,"16250874",1128,"Syria Humanitarian Response Plan 2018","Coordination and support services","4396","Office for the Coordination of Humanitarian Affairs","Gender Marker","4-Not applicable - Only used for very small number of projects, such as ""support services"""
55116,2018,"16250874",1128,"Syria Humanitarian Response Plan 2018","Coordination and support services","4396","Office for the Coordination of Humanitarian Affairs","Subset Of Plan","W"
53050,2018,"2000000",5692,"South Sudan Humanitarian Response Plan 2018","Protection","5298","Danish Refugee Council","Gender Marker","2a-The project is designed to contribute significantly to gender equality"
55006,2018,"18065000",1128,"Syria Humanitarian Response Plan 2018","Water Sanitation Hygiene","744","Oxfam","Project Grouping 1","WASH"
55006,2018,"18065000",1128,"Syria Humanitarian Response Plan 2018","Water Sanitation Hygiene","744","Oxfam","Project Grouping 2","NOT SPECIFIED"
55006,2018,"18065000",1128,"Syria Humanitarian Response Plan 2018","Water Sanitation Hygiene","744","Oxfam","Subset Of Plan","X"
55006,2018,"18065000",1128,"Syria Humanitarian Response Plan 2018","Water Sanitation Hygiene","744","Oxfam","Project Priority","NOT SPECIFIED"
55006,2018,"18065000",1128,"Syria Humanitarian Response Plan 2018","Water Sanitation Hygiene","744","Oxfam","Gender Marker","2a-The project is designed to contribute significantly to gender equality"
53020,2018,"5708052",5692,"South Sudan Humanitarian Response Plan 2018","Protection","4284","Nonviolent Peaceforce","Gender Marker","2a-The project is designed to contribute significantly to gender equality"
55328,2018,"548624132",1128,"Syria Humanitarian Response Plan 2018","Food Security","3049","World Food Programme","Project Grouping 1","Food Security"
55328,2018,"548624132",1128,"Syria Humanitarian Response Plan 2018","Food Security","3049","World Food Programme","Project Grouping 2","NOT SPECIFIED"
55328,2018,"548624132",1128,"Syria Humanitarian Response Plan 2018","Food Security","3049","World Food Programme","Gender Marker","2a-The project is designed to contribute significantly to gender equality"
55328,2018,"548624132",1128,"Syria Humanitarian Response Plan 2018","Food Security","3049","World Food Programme","Subset Of Plan","W"
55328,2018,"548624132",1128,"Syria Humanitarian Response Plan 2018","Food Security","3049","World Food Programme","Project Priority","NOT SPECIFIED"
53030,2018,"10475300",5692,"South Sudan Humanitarian Response Plan 2018","Camp Coordination / Management","2986","International Organization for Migration","Gender Marker","2a-The project is designed to contribute significantly to gender equality"
53303,2018,"58000000",5692,"South Sudan Humanitarian Response Plan 2018","Food Security","4399","Food and Agriculture Organization of the United Nations","Gender Marker","2a-The project is designed to contribute significantly to gender equality"
52995,2018,"5022500",1121,"Ukraine Humanitarian Response Plan 2018","Food Security","4399","Food and Agriculture Organization of the United Nations","Custom Location","GCAs and NGCAs"
52995,2018,"5022500",1121,"Ukraine Humanitarian Response Plan 2018","Food Security","4399","Food and Agriculture Organization of the United Nations","Project Priority","Critical"
54938,2018,"7677691",1128,"Syria Humanitarian Response Plan 2018","Health","3777","Médecins du Monde","Project Grouping 1","Health"
54938,2018,"7677691",1128,"Syria Humanitarian Response Plan 2018","Health","3777","Médecins du Monde","Project Grouping 2","NOT SPECIFIED"
54938,2018,"7677691",1128,"Syria Humanitarian Response Plan 2018","Health","3777","Médecins du Monde","Project Priority","NOT SPECIFIED"
54938,2018,"7677691",1128,"Syria Humanitarian Response Plan 2018","Health","3777","Médecins du Monde","Subset Of Plan","W"
54938,2018,"7677691",1128,"Syria Humanitarian Response Plan 2018","Health","3777","Médecins du Monde","Gender Marker","1-The project is designed to contribute in some limited way to gender equality"
53966,2018,"34722572",5688,"Nigeria Humanitarian Response Plan 2018","Education","2915","United Nations Children's Fund","Project Priority","High"
53966,2018,"34722572",5688,"Nigeria Humanitarian Response Plan 2018","Education","2915","United Nations Children's Fund","Gender Marker","2a-The project is designed to contribute significantly to gender equality"
53898,2018,"25743000",5688,"Nigeria Humanitarian Response Plan 2018","Protection - Child Protection","2915","United Nations Children's Fund","Gender Marker","2a-The project is designed to contribute significantly to gender equality"
53898,2018,"25743000",5688,"Nigeria Humanitarian Response Plan 2018","Protection - Child Protection","2915","United Nations Children's Fund","Project Priority","High"
56062,2018,"60472026",537,"Syria regional refugee and resilience plan (3RP) 2018","Multi-sector","5294","United Nations Development Programme","Project Priority","NOT SPECIFIED"
56062,2018,"60472026",537,"Syria regional refugee and resilience plan (3RP) 2018","Multi-sector","5294","United Nations Development Programme","Custom Location","Jordan"
56062,2018,"60472026",537,"Syria regional refugee and resilience plan (3RP) 2018","Multi-sector","5294","United Nations Development Programme","Gender Marker","3-Not specified"
54561,2018,"1526400",5690,"Somalia Humanitarian Response Plan 2018","Emergency Shelter and NFI","4931","United Nations Human Settlements Programme (UN-HABITAT)","Project Grouping 1","Shelter and NFIs"
54561,2018,"1526400",5690,"Somalia Humanitarian Response Plan 2018","Emergency Shelter and NFI","4931","United Nations Human Settlements Programme (UN-HABITAT)","Project Grouping 2","A - High"
54561,2018,"1526400",5690,"Somalia Humanitarian Response Plan 2018","Emergency Shelter and NFI","4931","United Nations Human Settlements Programme (UN-HABITAT)","Gender Marker","2a-The project is designed to contribute significantly to gender equality"
54561,2018,"1526400",5690,"Somalia Humanitarian Response Plan 2018","Emergency Shelter and NFI","4931","United Nations Human Settlements Programme (UN-HABITAT)","Custom Location","Multi Zone"
54561,2018,"1526400",5690,"Somalia Humanitarian Response Plan 2018","Emergency Shelter and NFI","4931","United Nations Human Settlements Programme (UN-HABITAT)","Project Priority","A - High"
55784,2018,"7176359",5681,"Sudan Humanitarian Response Plan 2018","Protection - Child Protection","2915","United Nations Children's Fund","Project Priority","High priority"
55784,2018,"7176359",5681,"Sudan Humanitarian Response Plan 2018","Protection - Child Protection","2915","United Nations Children's Fund","Gender Marker","2a-The project is designed to contribute significantly to gender equality"
54320,2018,"144079204",5690,"Somalia Humanitarian Response Plan 2018","Early Recovery","4399","Food and Agriculture Organization of the United Nations","Custom Location","NOT SPECIFIED"
54320,2018,"144079204",5690,"Somalia Humanitarian Response Plan 2018","Early Recovery","4399","Food and Agriculture Organization of the United Nations","Project Priority","A - High"
54320,2018,"144079204",5690,"Somalia Humanitarian Response Plan 2018","Early Recovery","4399","Food and Agriculture Organization of the United Nations","Gender Marker","2a-The project is designed to contribute significantly to gender equality"
56782,2018,"9000000",1128,"Syria Humanitarian Response Plan 2018","Health","4319","International NGOs (Confidential)","Project Priority","NOT SPECIFIED"
56782,2018,"9000000",1128,"Syria Humanitarian Response Plan 2018","Health","4319","International NGOs (Confidential)","Project Grouping 2","NOT SPECIFIED"
56782,2018,"9000000",1128,"Syria Humanitarian Response Plan 2018","Health","4319","International NGOs (Confidential)","Project Grouping 1","Health"
56782,2018,"9000000",1128,"Syria Humanitarian Response Plan 2018","Health","4319","International NGOs (Confidential)","Subset Of Plan","W"
56782,2018,"9000000",1128,"Syria Humanitarian Response Plan 2018","Health","4319","International NGOs (Confidential)","Gender Marker","1-The project is designed to contribute in some limited way to gender equality"
56783,2018,"4495000",1128,"Syria Humanitarian Response Plan 2018","Protection - Mine Action","4319","International NGOs (Confidential)","Subset Of Plan","W"
56783,2018,"4495000",1128,"Syria Humanitarian Response Plan 2018","Protection - Mine Action","4319","International NGOs (Confidential)","Project Grouping 1","Mine Action"
56783,2018,"4495000",1128,"Syria Humanitarian Response Plan 2018","Protection - Mine Action","4319","International NGOs (Confidential)","Project Priority","NOT SPECIFIED"
56783,2018,"4495000",1128,"Syria Humanitarian Response Plan 2018","Protection - Mine Action","4319","International NGOs (Confidential)","Project Grouping 2","NOT SPECIFIED"
56783,2018,"4495000",1128,"Syria Humanitarian Response Plan 2018","Protection - Mine Action","4319","International NGOs (Confidential)","Gender Marker","1-The project is designed to contribute in some limited way to gender equality"
54759,2018,"49571177",5687,"Cameroun Plan de Réponse Humanitaire 2018","Multi-sector","4397","United Nations High Commissioner for Refugees","Project Grouping 1","Multi-Sector for Refugees"
54759,2018,"49571177",5687,"Cameroun Plan de Réponse Humanitaire 2018","Multi-sector","4397","United Nations High Commissioner for Refugees","Response Type","Refugee"
54759,2018,"49571177",5687,"Cameroun Plan de Réponse Humanitaire 2018","Multi-sector","4397","United Nations High Commissioner for Refugees","Project Grouping 2","High"
54759,2018,"49571177",5687,"Cameroun Plan de Réponse Humanitaire 2018","Multi-sector","4397","United Nations High Commissioner for Refugees","Project Priority","High"
54759,2018,"49571177",5687,"Cameroun Plan de Réponse Humanitaire 2018","Multi-sector","4397","United Nations High Commissioner for Refugees","Gender Marker","2a-The project is designed to contribute significantly to gender equality"
53169,2018,"16522767",5692,"South Sudan Humanitarian Response Plan 2018","Education","2915","United Nations Children's Fund","Gender Marker","2a-The project is designed to contribute significantly to gender equality"
53082,2018,"22518000",5692,"South Sudan Humanitarian Response Plan 2018","Water Sanitation Hygiene","2915","United Nations Children's Fund","Gender Marker","2a-The project is designed to contribute significantly to gender equality"
53284,2018,"6063690",5692,"South Sudan Humanitarian Response Plan 2018","Food Security","2886","Agency for Technical Cooperation and Development","Gender Marker","2a-The project is designed to contribute significantly to gender equality"
53196,2018,"2100000",5692,"South Sudan Humanitarian Response Plan 2018","Coordination and support services","7292","REACH Initiative","Gender Marker","1-The project is designed to contribute in some limited way to gender equality"
55210,2018,"3000000",1128,"Syria Humanitarian Response Plan 2018","Education","5298","Danish Refugee Council","Project Grouping 1","Education"
55210,2018,"3000000",1128,"Syria Humanitarian Response Plan 2018","Education","5298","Danish Refugee Council","Project Grouping 2","NOT SPECIFIED"
55210,2018,"3000000",1128,"Syria Humanitarian Response Plan 2018","Education","5298","Danish Refugee Council","Project Priority","NOT SPECIFIED"
55210,2018,"3000000",1128,"Syria Humanitarian Response Plan 2018","Education","5298","Danish Refugee Council","Subset Of Plan","X"
55210,2018,"3000000",1128,"Syria Humanitarian Response Plan 2018","Education","5298","Danish Refugee Council","Gender Marker","2a-The project is designed to contribute significantly to gender equality"
56086,2018,"25755000",537,"Syria regional refugee and resilience plan (3RP) 2018","Multi-sector","2915","United Nations Children's Fund","Custom Location","Egypt"
56086,2018,"25755000",537,"Syria regional refugee and resilience plan (3RP) 2018","Multi-sector","2915","United Nations Children's Fund","Project Priority","NOT SPECIFIED"
56086,2018,"25755000",537,"Syria regional refugee and resilience plan (3RP) 2018","Multi-sector","2915","United Nations Children's Fund","Gender Marker","3-Not specified"
55274,2018,"32516490",1128,"Syria Humanitarian Response Plan 2018","Water Sanitation Hygiene","2915","United Nations Children's Fund","Subset Of Plan","W"
55274,2018,"32516490",1128,"Syria Humanitarian Response Plan 2018","Water Sanitation Hygiene","2915","United Nations Children's Fund","Project Priority","NOT SPECIFIED"
55274,2018,"32516490",1128,"Syria Humanitarian Response Plan 2018","Water Sanitation Hygiene","2915","United Nations Children's Fund","Project Grouping 2","NOT SPECIFIED"
55274,2018,"32516490",1128,"Syria Humanitarian Response Plan 2018","Water Sanitation Hygiene","2915","United Nations Children's Fund","Project Grouping 1","WASH"
55274,2018,"32516490",1128,"Syria Humanitarian Response Plan 2018","Water Sanitation Hygiene","2915","United Nations Children's Fund","Gender Marker","2a-The project is designed to contribute significantly to gender equality"
56157,2018,"24000000",5682,"Iraq Humanitarian Response Plan 2018","Water Sanitation Hygiene","2915","United Nations Children's Fund","Gender Marker","2a-The project is designed to contribute significantly to gender equality"
56157,2018,"24000000",5682,"Iraq Humanitarian Response Plan 2018","Water Sanitation Hygiene","2915","United Nations Children's Fund","Project Priority","High"
56284,2018,"11165000",5682,"Iraq Humanitarian Response Plan 2018","Education","2915","United Nations Children's Fund","Project Priority","High"
56284,2018,"11165000",5682,"Iraq Humanitarian Response Plan 2018","Education","2915","United Nations Children's Fund","Gender Marker","1-The project is designed to contribute in some limited way to gender equality"
53342,2018,"1500000",5692,"South Sudan Humanitarian Response Plan 2018","Water Sanitation Hygiene","4534","Help - Hilfe zur Selbsthilfe e.V.","Gender Marker","2a-The project is designed to contribute significantly to gender equality"
52526,2018,"135328400",5684,"Tchad Plan de Réponse Humanitaire 2018","Multi-sector","4397","United Nations High Commissioner for Refugees","% qui contribue à la crise mouvement de population","80"
52526,2018,"135328400",5684,"Tchad Plan de Réponse Humanitaire 2018","Multi-sector","4397","United Nations High Commissioner for Refugees","Lake Chad Basin","false"
52526,2018,"135328400",5684,"Tchad Plan de Réponse Humanitaire 2018","Multi-sector","4397","United Nations High Commissioner for Refugees","% qui contribue à la réponse aux besoins dans le Sud?","33"
52526,2018,"135328400",5684,"Tchad Plan de Réponse Humanitaire 2018","Multi-sector","4397","United Nations High Commissioner for Refugees","Veuillez sélectionner l’analyse qui se rapporte le mieux à votre","1 - Ce projet intègre, de manière modérée, la protection transversale."
52526,2018,"135328400",5684,"Tchad Plan de Réponse Humanitaire 2018","Multi-sector","4397","United Nations High Commissioner for Refugees","% qui contribue à la réponse à la crise des réfugiés soudanais à","33"
52526,2018,"135328400",5684,"Tchad Plan de Réponse Humanitaire 2018","Multi-sector","4397","United Nations High Commissioner for Refugees","% qui contribue à la réponse aux besoins dans le reste du pays?","34"
52526,2018,"135328400",5684,"Tchad Plan de Réponse Humanitaire 2018","Multi-sector","4397","United Nations High Commissioner for Refugees","% qui contribue à la crise sécurité alimentaire et malnutrition","10"
52526,2018,"135328400",5684,"Tchad Plan de Réponse Humanitaire 2018","Multi-sector","4397","United Nations High Commissioner for Refugees","% qui contribue à la crise urgence sanitaire","10"
52526,2018,"135328400",5684,"Tchad Plan de Réponse Humanitaire 2018","Multi-sector","4397","United Nations High Commissioner for Refugees","Conditionality","Combined"
