id,text,label,gpt_prediction
190002,"Water, Sanitation and Hygiene,Multipurpose Cash Assistance,Shelter and Settlements (USAID/OFDA)",0,Partial
199111,"Water, Sanitation and Hygiene,Multipurpose Cash Assistance,Shelter and Settlements

( USAID/OFDA)",0,Partial
199795,"Water, Sanitation and Hygiene,Multipurpose Cash Assistance,Agriculture and Food Security (USAID/OFDA)",0,Partial
183061,"Water, Sanitation and Hygiene,Multipurpose Cash Assistance,Shelter and Settlements,Risk Management Policy and Practice (USAID/OFDA)",0,Partial
199891,"Water, Sanitation and Hygiene,Multipurpose Cash Assistance,Protection,Agriculture and Food Security (USAID/OFDA)",0,Partial
183614,"Water, Sanitation and Hygiene,Multipurpose Cash Assistance,Protection,Agriculture and Food Security ( USAID/OFDA)",0,Partial
182914,"Water, Sanitation and Hygiene,Multipurpose Cash Assistance,Shelter and Settlements,Agriculture and Food Security (USAID/OFDA)",0,Partial
180478,"Water, Sanitation and Hygiene,Economic Recovery and Market Systems,Multipurpose Cash Assistance,Protection,Shelter and Settlements_x000D__x000D_
( USAID/OFDA)",0,Partial
199889,"Water, Sanitation and Hygiene,Multipurpose Cash Assistance,Protection,Shelter and Settlements,Agriculture and Food Security (USAID/OFDA)",0,Partial
197087,"Water, Sanitation and Hygiene,Nutrition,Multipurpose Cash Assistance,Protection ( USAID/OFDA)",0,Partial
182905,"Water, Sanitation and Hygiene,Multipurpose Cash Assistance,Protection (USAID/OFDA)",0,Partial
163305,"WASH, CASH & Livestock Support in Borena Zone",0,Partial
199428,"Health,Water, Sanitation and Hygiene,Multipurpose Cash Assistance,Protection,Shelter and Settlements (USAID/OFDA)",0,Partial
182814,"Water, Sanitation and Hygiene,Economic Recovery and Market Systems,Multipurpose Cash Assistance,Protection,Shelter and Settlements,Humanitarian Coordination and Info Management,Risk Management Policy and Practice ( USAID/OFDA)",0,Partial
199855,"Integrated response, offering lifesaving support to these displaced Myanmar national providing health & medical service, Food & Non-Food Items, Shelter & Construction, Nutrition, Psycho-Social Support, Gender Based Violence and recently added to Cash Assistance Program to families, and particularly to the most vulnerable individuals including women, children, and the elderly",0,Partial
199776,"Health,Water, Sanitation and Hygiene,Nutrition,Multipurpose Cash Assistance,Shelter and Settlements,Agriculture and Food Security

(USAID/OFDA)",0,Partial
193033,"Hygiene, nutritional and winter assistance as cash as well as psychosocial support for conflict-affected needy along the line of contact, Eastern Ukraine. 2019: 962,089 €; 2020: 2,714,203 €; 2021: 1,257,996 € (2019 portion)",0,Partial
180073,"WASH, food security through cash transfers and safeguards in the state of Bieh; 2018: 712.500,00 € 2019: 2.250.000,00 € 2020: 1.312.500,00 €, Multiyear 2018-2020, total award Euro 4,275,000",0,Partial
202522,"Capacity Building, Food Security, Health, Logistics Support and Relief Commodities, Multipurpose Cash Assistance, WASH through IPs (State/PRM)",0,Partial
204967,"First line response,support and access to most vulnerable IDPs and host community through immediate provision of shelter NFIs/Cash for rent/and CCCM activities in Dhi-Sufal district,Ibb governorate and Almaafer ,Dhubab district,Taiz governorate",0,Partial
