id,text
165756,Emergency cash assistance and psychosocial support to Syrian refugees and members of the host community
165765,WFP Cash Programme in Lebanon
166256,Transfert d'espèces
166259,Distribution de nourriture + cash
166261,Assistance alimentaire pour l'éducation/ Coupons alimentaires aux écoles avec cantines scolaires
166264,Bons d'achats alimentaires
166362,provision of shelter and livelihood assistance (cash for - work) to IDPs in northern Syria (Al Bab & Atareb sub districts /Aleppo Governorate)
166431,"Cash for rent assistance to vulnerable Syrian and Jordanian households living in urban and rural areas in Irbid, Karak and Ma'an Governorates"
166436,Cash-for-rent Assistance Targeting Households with Persons with Disabilities (PWD) within Syrian Refugee and Vulnerable Host Community Populations in Jordan
166437,Cash Assistance to Mitigate the Impact of Winter Weather and Dependence on Negative Coping Strategies among Vulnerable Syrian Refugees and Host Community Members in Jordan
166664,"Provision of life-saving Emergency Shelter and Non-Food Items, and distribution of cash vouchers in CES and EES."
166700,"Provision of life-saving ES and NFIs to vulnerable conflict affected IDPs through Cash-Based Intervention modality to vulnerable communities in three IDP camps in Kajokeji, Central Equatoria State"
166754,"Project to support Iraqi Internally displaced persons (IDPs), host communities, remainees and returnees through cash-for-work activities to provide income for life-saving necessities"
166755,"Bothoor alkhaer project to support Iraqi Internally displaced persons (IDPs), host communities, remainees and returnees through cash-for-work activities to provide income for life-saving necessities"
166785,"Supporting new and prolonged IDPs to meet their emergency food, WASH and Education needs in Kandahar and Takhar Provinces of Afghanistan through immediate cash transfer modality, WASH interventions and establishment of children Temporary Learning Space (TLS)"
166786,"Supporting new and prolonged IDPs to meet their emergency food, WASH and Education needs in Kandahar and Takhar Provinces of Afghanistan through immediate cash transfer modality, WASH interventions and establishment of children Temporary Learning Space (TLS)"
166787,"Supporting new and prolonged IDPs to meet their emergency food, WASH and Education needs in Kandahar and Takhar Provinces of Afghanistan through immediate cash transfer modality, WASH interventions and establishment of children Temporary Learning Space (TLS)"
166796,"Provision of cash for food and psychosocial support to IDP women, boys, girls and men, specific ESNFI needs assessment for particularly women headed households to respond most vulnerable families, and creating safe environment for affected children during emergencies in Kandahar, Hilmand, Uruzgan and Zabul provinces."
166797,"Provision of cash for food and psychosocial support to IDP women, boys, girls and men, specific ESNFI needs assessment for particularly women headed households to respond most vulnerable families, and creating safe environment for affected children during emergencies in Kandahar, Hilmand, Uruzgan and Zabul provinces."
166798,"Provision of cash for food and psychosocial support to IDP women, boys, girls and men, specific ESNFI needs assessment for particularly women headed households to respond most vulnerable families, and creating safe environment for affected children during emergencies in Kandahar, Hilmand, Uruzgan and Zabul provinces."
166806,"Emergency assistance to 750 IDPs households (5250 individuals) through cash transfers, protection, and WASH to improve the humanitarian conditions of conflict-affected persons in hard-to-reach areas in the East region of Afghanistan, in particular in the districts of Surkh Rod in Nangahar, and Dari-i-Pech and Khas Kunar in Kunar"
166807,"Emergency assistance to 750 IDPs households (5250 individuals) through cash transfers, protection, and WASH to improve the humanitarian conditions of conflict-affected persons in hard-to-reach areas in the East region of Afghanistan, in particular in the districts of Surkh Rod in Nangahar, and Dari-i-Pech and Khas Kunar in Kunar"
166808,"Emergency assistance to 750 IDPs households (5250 individuals) through cash transfers, protection, and WASH to improve the humanitarian conditions of conflict-affected persons in hard-to-reach areas in the East region of Afghanistan, in particular in the districts of Surkh Rod in Nangahar, and Dari-i-Pech and Khas Kunar in Kunar"
166809,"Provision of WASH, Food Security (Cash transfer) and Protection assistance for IDPs and Returnees families in Khas Kuner district of Kuner province and Khugiani district of Nangrahar province"
166810,"Provision of WASH, Food Security (Cash transfer) and Protection assistance for IDPs and Returnees families in Khas Kuner district of Kuner province and Khugiani district of Nangrahar province"
166811,"Provision of WASH, Food Security (Cash transfer) and Protection assistance for IDPs and Returnees families in Khas Kuner district of Kuner province and Khugiani district of Nangrahar province"
166956,Support to the WFP’ s School Meal Programme in Lebanon. The project intends to promote the right to education for all children in Lebanon and  ensure improved nutritional intake for pupils. It provides for the daily distribution of school snacks to Syrian and Lebanese pupils in selected public primary schools and the distribution of a monthly cash allowance for the Syrian pupils enrolled in the second shift classes.
167296,"Water trucking,food and cash contributions"
167570,"Cash Project, diversication of livelihoods and market internevtions to strengthen vulnerable households; 2017: 90.000,00 € 2018: 405.000,00 € (AA-S09 321.50 SSD 13/17)"
154822,"Life saving cash assistance for the most vulnerable IDP and host population in Maiduguri, Borno state (ECHO/-WF/BUD/2017/91022)"
167849,Emergency cash assistance and psychosocial support to Syrian refugees and members of the host community
